~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:05 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1RCH_0001__SC_1RCH_0001__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:48 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3177.8448 3177.8448 59.5764 18.7979 8.7002 2.5323 0.0479 0.0248 62.6813 33.0898
3177.6924 3177.6924 60.1873 19.0098 8.7407 2.5321 0.0511 0.0282 61.8442 33.5916
3177.5400 3177.5400 60.7413 19.1183 8.7407 2.5592 0.0723 0.0315 62.2045 34.0931
3177.3876 3177.3876 61.7469 18.9732 8.7407 2.6284 0.1161 0.0473 61.5287 34.5936
3177.2352 3177.2352 63.2706 18.6791 8.7407 2.6746 0.1344 0.0656 60.5067 35.0954
3177.0828 3177.0828 63.6283 19.1130 8.7407 2.6596 0.1215 0.0447 60.0570 35.5484
3176.9304 3176.9304 63.3184 19.6861 8.7407 2.6514 0.0996 0.0430 59.9498 35.7500
3176.7780 3176.7780 62.4850 19.7623 8.7407 2.6196 0.0835 0.0583 59.5064 35.7500
3176.6256 3176.6256 61.6227 19.5217 8.7407 2.5968 0.0716 0.0515 59.3967 35.7500
3176.4732 3176.4732 61.5456 19.2670 8.7407 2.5713 0.0685 0.0330 59.0712 35.8006
3176.3208 3176.3208 61.9783 19.2227 8.7407 2.5606 0.0828 0.0164 59.8495 36.0514
3176.1684 3176.1684 62.5260 19.3136 8.7407 2.5942 0.1154 0.0128 61.5324 36.3023
3176.0160 3176.0160 62.8041 19.4798 8.7407 2.6064 0.1229 0.0061 63.7765 36.5531
3175.8636 3175.8636 62.7094 19.6410 8.7407 2.5889 0.1098 0.0046 67.8885 36.7500
3175.7112 3175.7112 62.5212 19.4682 8.7407 2.5848 0.0920 0.0448 71.6112 36.7500
3175.5588 3175.5588 61.2097 19.0409 8.7407 2.6194 0.0779 0.1158 75.1543 36.7500
3175.4064 3175.4064 59.7568 18.8996 8.7407 2.6017 0.0670 0.1034 79.7696 36.7500
3175.2540 3175.2540 58.7969 18.6076 8.7407 2.5972 0.0593 0.0602 87.0517 36.9183
3175.1016 3175.1016 57.8158 18.6588 8.7407 2.5994 0.0537 0.0415 97.3054 37.6137
3174.9492 3174.9492 57.7360 19.0037 8.7407 2.6013 0.0520 0.0331 103.5270 38.0571
3174.7968 3174.7968 57.9059 19.7385 8.7407 2.5885 0.0516 0.0214 109.3714 38.3660
3174.6444 3174.6444 58.2548 20.5214 8.7291 2.5754 0.0506 0.0158 104.5285 38.7500
3174.4920 3174.4920 58.8828 22.7209 8.6914 2.5705 0.0538 0.0122 96.0992 38.7500
3174.3396 3174.3396 60.0258 29.7490 8.6914 2.5773 0.0728 0.0040 85.4161 38.7500
3174.1872 3174.1872 63.2801 41.6219 8.6914 2.6062 0.1189 0.0085 75.9837 38.9323
3174.0348 3174.0348 65.9670 54.0899 8.6914 2.6492 0.1636 0.0106 66.8441 39.6844
3173.8824 3173.8824 68.2417 63.1914 8.6914 2.6652 0.1873 0.0015 61.8913 40.3118
3173.7300 3173.7300 70.1922 65.4494 8.6914 2.6590 0.1815 -0.0010 59.5334 40.4373
3173.5776 3173.5776 69.4177 62.2270 8.6914 2.6362 0.1614 0.0093 55.6628 40.1864
3173.4252 3173.4252 65.8481 58.4361 8.6914 2.6271 0.1400 0.0218 52.7912 39.9357
3173.2728 3173.2728 63.9216 58.4112 8.6914 2.6124 0.1266 0.0229 49.4867 39.7500
3173.1204 3173.1204 64.1968 62.3259 8.6914 2.6057 0.1346 0.0291 47.6905 39.7500
3172.9680 3172.9680 65.9776 68.0233 8.6914 2.6171 0.1618 0.0358 47.2224 39.7500
