WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        SN         DT         TT1        TT2        TT3        TT4        TENS   
M          GAPI       IN         OHMM       OHMM       US/F       US         US         US         US         LB     
1815.438   51.3000    17.65000   17.5       13.52073   67.00000   343.0000   401.0000   505.0000   499.0000   1966   
1815.285   51.5000    17.65000   17.2       13.33521   64.70000   343.0000   404.0000   502.0000   499.0000   1966   
1815.133   49.5000    17.64000   16.7       13.12200   65.00000   352.0000   397.0000   505.0000   506.0000   1963   
1814.980   47.3000    17.65000   16.1       12.91219   67.80000   360.0000   383.0000   510.0000   515.0000   1963   
1814.828   47.4000    17.65000   15.5       12.70574   70.80000   367.0000   374.0000   513.0000   517.0000   1965   
1814.676   48.5000    17.64000   14.9       12.50259   72.00000   378.0000   363.0000   517.0000   511.0000   1966   
1814.523   48.6000    17.64000   14.5       12.24616   71.70000   392.0000   358.0000   527.0000   506.0000   1966   
1814.371   47.7000    17.65000   14.0       12.10598   71.09999   405.0000   354.0000   533.0000   506.0000   1963   
1814.219   46.6000    17.65000   13.7       11.91242   70.09999   422.0000   350.0000   537.0000   509.0000   1963   
1814.066   46.8000    17.65000   13.6       11.72195   68.80000   436.0000   347.0000   539.0000   512.0000   1964   
1813.914   48.2000    17.65000   13.5       11.50801   67.80000   433.0000   346.0000   539.0000   513.0000   1965   
1813.761   50.5000    17.64000   13.4       11.29796   68.50000   429.0000   347.0000   542.0000   518.0000   1966   
1813.609   54.2000    17.65000   13.3       11.09175   71.00000   421.0000   350.0000   543.0000   524.0000   1966   
1813.457   58.4000    17.65000   13.2       10.78947   74.20000   410.0000   354.0000   547.0000   527.0000   1966   
1813.304   63.3000    17.66000   13.0       10.49542   78.20000   396.0000   358.0000   554.0000   533.0000   1965   
1813.152   68.9000    17.66000   12.8       10.23293   83.20000   385.0000   366.0000   564.0000   541.0000   1965   
1812.999   73.9000    17.66000   12.7       10.06932   87.20000   378.0000   376.0000   566.0000   543.0000   1963   
1812.847   78.2000    17.66000   12.6       10.00000   89.20000   377.0000   381.0000   572.0000   551.0000   1965   
1812.695   80.8000    17.66000   12.5       10.00000   89.80000   377.0000   386.0000   569.0000   556.0000   1965   
1812.542   81.6000    17.66000   12.6       10.09253   88.20000   372.0000   400.0000   561.0000   556.0000   1966   
1812.390   81.0000    17.77000   12.6       10.18591   84.30000   367.0000   417.0000   552.0000   558.0000   1965   
1812.237   79.5000    17.80000   12.9       10.30386   79.89999   364.0000   436.0000   546.0000   563.0000   1965   
1812.085   79.8000    17.76000   13.3       10.44720   76.89999   372.0000   444.0000   545.0000   569.0000   1963   
1811.932   81.8000    17.73000   13.7       10.56818   76.20000   378.0000   432.0000   543.0000   577.0000   1963   
1811.780   84.4000    17.76000   14.2       10.73989   76.50000   384.0000   416.0000   539.0000   568.0000   1964   
1811.628   86.6000    17.78000   14.7       10.88930   76.39999   391.0000   402.0000   538.0000   557.0000   1964   
1811.475   86.6000    17.79000   15.1       11.09175   76.00000   400.0000   389.0000   543.0000   551.0000   1963   
1811.323   84.0000    17.85000   15.7       11.29796   75.70000   410.0000   382.0000   548.0000   548.0000   1963   
1811.170   80.4000    17.89000   16.3       11.50801   74.70000   419.0000   377.0000   547.0000   546.0000   1965   
1811.018   75.7000    17.94000   16.8       11.77606   72.50000   427.0000   374.0000   540.0000   544.0000   1963   
1810.866   68.7000    17.90000   17.2       12.02265   69.59999   423.0000   370.0000   528.0000   537.0000   1966   
1810.713   60.5000    17.87000   17.3       12.30269   67.59999   412.0000   369.0000   521.0000   534.0000   1963   
1810.561   54.8000    17.78000   17.5       12.58925   67.70000   399.0000   373.0000   513.0000   537.0000   1962   
1810.408   52.0000    17.72000   17.6       12.76439   70.09999   384.0000   375.0000   518.0000   541.0000   1963   
1810.256   49.1000    17.73000   17.9       12.94196   73.89999   373.0000   375.0000   519.0000   543.0000   1966   
1810.104   46.6000    17.76000   18.2       13.06171   77.20000   365.0000   379.0000   522.0000   542.0000   1966   
1809.951   47.6000    17.84000   18.3       13.24342   78.59999   364.0000   383.0000   527.0000   539.0000   1967   
1809.799   50.7000    17.87000   18.3       13.36596   78.09999   362.0000   387.0000   528.0000   530.0000   1966   
1809.646   51.9000    17.96000   18.3       13.48963   76.80000   354.0000   394.0000   526.0000   527.0000   1966   
1809.494   50.7000    17.92000   18.6       13.61445   76.09999   355.0000   400.0000   525.0000   535.0000   1963   
1809.342   49.9000    17.95000   18.9       13.70882   76.00000   358.0000   401.0000   528.0000   538.0000   1961   
1809.189   50.6000    17.80000   19.4       13.77210   75.80000   363.0000   400.0000   529.0000   538.0000   1962   
1809.037   51.1000    17.73000   19.8       13.77210   74.50000   362.0000   402.0000   523.0000   534.0000   1961   
1808.885   50.5000    17.74000   20.0       13.80384   72.09999   364.0000   409.0000   520.0000   532.0000   1963   
