WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       BIT        GR         FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         IN         GAPI       CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5895.338   9.27109    8.500000   14.4800    451.383    594.6949   2.423191   0.156064    902.138    748.5031   0.7831     6249.145   
5895.186   9.65375    8.500000   15.0888    473.623    614.3657   2.409641   0.173348    911.453    747.1027   0.5948     6160.084   
5895.033   9.65375    8.500000   15.7266    481.188    621.5735   2.409434   0.179822    933.898    755.0481   0.5243     6074.075   
5894.881   9.65375    8.500000   16.2379    474.118    623.9935   2.418988   0.185990    967.835    773.9713   0.4540     6086.274   
5894.729   9.71234    8.500000   15.9366    468.363    626.7046   2.431476   0.192013    1007.771   793.6699   0.3550     6034.119   
5894.576   9.74164    8.500000   15.3602    464.562    628.6393   2.440489   0.196189    1053.098   813.8333   0.2378     6054.555   
5894.424   9.65375    8.500000   14.5265    463.080    630.4775   2.443749   0.199240    1100.752   824.0220   0.1246     6137.515   
5894.271   9.65375    8.500000   13.5418    468.328    633.2906   2.438794   0.200667    1144.180   825.3992   -0.0066    6195.465   
5894.119   9.65375    8.500000   12.4266    478.597    635.2953   2.426898   0.198945    1165.880   830.4402   -0.0576    6231.455   
5893.967   9.65375    8.500000   11.8688    487.339    635.1852   2.412158   0.195186    1157.419   837.3860   0.0149     6261.345   
5893.814   9.65009    8.500000   12.0063    492.973    630.1527   2.398720   0.186315    1099.312   833.4043   0.1945     6270.495   
5893.662   9.65375    8.500000   13.0683    494.259    624.9545   2.388155   0.178948    998.555    793.9049   0.4021     6297.335   
5893.510   9.65375    8.500000   15.0571    500.463    626.1256   2.370695   0.178003    890.893    728.0978   0.5590     6333.935   
5893.357   9.64350    8.500000   17.2711    531.749    631.0955   2.332433   0.172420    808.707    669.8500   0.6646     6349.185   
5893.205   9.93206    8.500000   19.8186    584.325    639.3444   2.277293   0.164311    770.633    648.1368   0.6428     6341.255   
5893.052   10.37148   8.500000   21.5571    619.147    631.7698   2.232713   0.142895    770.655    655.9095   0.5863     6277.510   
5892.899   9.97600    8.500000   22.6176    601.945    609.2104   2.232179   0.118475    779.510    680.8937   0.8602     6153.984   
5892.747   8.97997    8.500000   22.4020    537.197    592.4176   2.287987   0.118114    777.780    694.0011   1.4001     6073.465   
5892.595   8.71631    8.500000   20.9241    472.486    593.1187   2.371178   0.144740    775.341    696.6262   1.6196     6037.475   
5892.442   9.65375    8.500000   18.6618    446.419    610.8397   2.429364   0.180411    769.165    698.8025   1.2901     6075.600   
5892.290   9.81487    8.500000   17.4084    467.603    635.7889   2.438883   0.204231    759.590    702.6381   1.3082     6136.904   
5892.138   9.82952    8.500000   17.1838    497.372    651.2903   2.419854   0.211806    753.458    697.2297   1.3289     6196.075   
5891.985   9.81487    8.500000   18.7370    510.773    652.9624   2.404735   0.208613    750.950    690.7681   1.3080     6233.895   
5891.833   9.82952    8.500000   21.9487    511.844    657.8236   2.398526   0.214323    752.746    690.2300   1.2649     6265.615   
5891.681   9.82952    8.500000   24.2360    519.078    657.6628   2.392571   0.211317    768.009    699.9645   1.1980     6277.204   
5891.528   9.93206    8.500000   24.6624    515.267    647.0312   2.384426   0.199321    796.849    712.4788   1.0672     6226.575   
5891.376   9.14109    8.500000   22.8750    508.744    634.7375   2.374391   0.186012    813.381    722.3173   1.3650     6178.385   
5891.224   9.10630    8.500000   21.0470    513.904    626.0483   2.358194   0.172605    805.691    725.1447   1.4813     6082.615   
5891.071   9.43404    8.500000   20.3932    524.379    621.8821   2.337333   0.163055    777.572    721.4642   1.5674     6011.854   
