~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 15:17 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1API_0001__PR_1API_0001__PR.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 15:16 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
CAL2 IN ----
RB ---- ----
GR ---- ----
CALI IN ----
#-----------------------------------------------------------------------------
M M IN ---- ---- IN
DEPT DEPT CAL2 RB GR CALI
~Ascii
4264.9140 4264.9140 8.5261 324.0000 59.4000 8.2961
4264.7616 4264.7616 8.6161 330.0000 67.0570 8.4400
4264.6092 4264.6092 8.6500 330.0000 75.5543 8.5200
4264.4568 4264.4568 8.6500 330.0000 81.5000 8.5405
4264.3044 4264.3044 8.6500 334.0000 81.5000 8.5534
4264.1520 4264.1520 8.5900 334.0000 80.2000 8.5200
4263.9996 4263.9996 8.5900 334.0000 80.2000 8.5200
4263.8472 4263.8472 8.5200 334.0000 77.6000 8.3991
4263.6948 4263.6948 8.4800 339.0000 70.0000 8.2900
4263.5424 4263.5424 8.4500 342.0000 59.7000 8.2900
4263.3900 4263.3900 8.4800 343.0000 49.1000 8.3453
4263.2376 4263.2376 8.4800 348.0000 40.5000 8.4400
4263.0852 4263.0852 8.4500 352.0000 38.5000 8.5200
4262.9328 4262.9328 8.4200 356.0000 39.8963 8.5600
4262.7804 4262.7804 8.4200 0.0000 42.0000 8.6000
4262.6280 4262.6280 8.3900 4.0000 43.5357 8.5600
4262.4756 4262.4756 8.3500 8.0000 43.4397 8.5160
4262.3232 4262.3232 8.3500 12.0000 43.5000 8.4600
4262.1708 4262.1708 8.3500 12.0000 43.7000 8.4800
4262.0184 4262.0184 8.3500 17.0000 43.3000 8.4700
4261.8660 4261.8660 8.3500 17.0000 45.4000 8.4600
4261.7136 4261.7136 8.3500 17.0000 45.8425 8.4800
4261.5612 4261.5612 8.3200 21.0000 47.9000 8.4800
4261.4088 4261.4088 8.3200 19.0000 48.3645 8.4700
4261.2564 4261.2564 8.3200 23.0000 47.8000 8.4400
4261.1040 4261.1040 8.2900 23.0000 46.7000 8.4000
4260.9516 4260.9516 8.2900 23.0000 43.9663 8.3700
4260.7992 4260.7992 8.2800 24.0000 44.1794 8.3700
4260.6468 4260.6468 8.2686 23.8646 44.1865 8.3700
4260.4944 4260.4944 8.2700 23.0000 46.9000 8.3300
4260.3420 4260.3420 8.2500 24.0000 53.5000 8.3300
4260.1896 4260.1896 8.2900 21.0000 61.4000 8.3700
4260.0372 4260.0372 8.3200 21.0000 71.4000 8.4000
4259.8848 4259.8848 8.3200 21.0000 75.5000 8.4000
4259.7324 4259.7324 8.2900 24.0000 74.0000 8.3300
4259.5800 4259.5800 8.2058 28.0000 67.7000 8.2800
4259.4276 4259.4276 8.1900 24.0000 62.6776 8.2500
4259.2752 4259.2752 8.1900 24.0000 62.0341 8.2500
4259.1228 4259.1228 8.1900 30.0000 59.6000 8.2900
4258.9704 4258.9704 8.1900 30.0000 61.6000 8.2454
4258.8180 4258.8180 8.2100 36.0000 62.7874 8.2900
4258.6656 4258.6656 8.2900 36.0000 62.6000 8.3500
4258.5132 4258.5132 8.2900 36.0000 60.7000 8.4000
4258.3608 4258.3608 8.2500 38.0000 58.2000 8.4000
4258.2084 4258.2084 8.2300 38.0000 55.8000 8.3300
4258.0560 4258.0560 8.2200 38.0000 57.1000 8.3300
4257.9036 4257.9036 8.2300 44.0000 58.5871 8.3300
4257.7512 4257.7512 8.2500 44.0000 57.4000 8.3700
4257.5988 4257.5988 8.2500 48.0000 56.4000 8.3700
4257.4464 4257.4464 8.2900 48.0000 54.9823 8.4000
4257.2940 4257.2940 8.3200 51.0000 54.8000 8.4400
4257.1416 4257.1416 8.3660 51.0000 57.1200 8.5860
4256.9892 4256.9892 8.4500 51.0000 57.9000 8.6700
4256.8368 4256.8368 8.4800 53.0000 60.4000 8.7100
4256.6844 4256.6844 8.6727 57.0000 62.4000 8.8863
4256.5320 4256.5320 8.9000 59.0000 65.7000 9.1552
4256.3796 4256.3796 9.0155 59.0000 68.8000 9.2855
4256.2272 4256.2272 9.1200 59.0000 71.2000 9.4300
4256.0748 4256.0748 9.1600 59.0000 73.2038 9.4800
4255.9224 4255.9224 9.2000 57.0000 74.3731 9.5700
4255.7700 4255.7700 9.2300 57.0000 73.6000 9.6100
4255.6176 4255.6176 9.2600 57.0000 70.8000 9.6700
4255.4652 4255.4652 9.2600 55.0000 67.6243 9.7300
4255.3128 4255.3128 9.3100 57.0000 65.8184 9.7800
4255.1604 4255.1604 9.3535 55.0000 67.1000 9.8800
4255.0080 4255.0080 9.5300 52.6027 70.3205 11.0401
4254.8556 4254.8556 9.5563 51.8806 73.9000 13.2397
4254.7032 4254.7032 9.5300 56.0000 77.3000 13.7900
4254.5508 4254.5508 9.5300 56.0000 77.3000 13.7900
4254.3984 4254.3984 9.5300 56.0000 78.0808 13.7900
4254.2460 4254.2460 9.5300 56.0000 76.6000 13.7900
4254.0936 4254.0936 9.5300 53.0000 75.6508 13.6800
4253.9412 4253.9412 9.3030 53.4845 74.7000 14.3850
4253.7888 4253.7888 9.3800 44.0000 73.6000 15.5973
4253.6364 4253.6364 9.3800 41.0000 72.4000 15.2039
4253.4840 4253.4840 9.3800 34.0000 72.1000 15.1500
4253.3316 4253.3316 9.3800 28.0000 71.8735 15.1500
4253.1792 4253.1792 9.3800 36.0000 70.8000 15.1300
4253.0268 4253.0268 9.3800 32.0000 69.1000 15.1100
4252.8744 4252.8744 9.3800 32.0000 68.7046 15.1100
4252.7220 4252.7220 9.3800 32.0000 71.0000 15.0900
