WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL        TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS         LB         
4028.896   105.5000   9.49000    223.600    416.5000   2.694000   -0.007000   9.97000    261.3000   435.3000    4191.000   
4028.743   105.5000   9.41000    224.300    420.6000   2.698000   0.0         14.00000   208.8000   396.1000    4211.000   
4028.590   103.0000   9.36000    224.800    429.0000   2.701000   0.012000    17.76000   177.1000   357.1000    4220.000   
4028.438   96.6000    9.33000    230.000    443.9000   2.697000   0.029000    20.17000   174.4000   336.8000    4217.000   
4028.286   85.9000    9.04000    243.800    474.3000   2.674000   0.055000    20.16000   220.0000   356.9000    4219.000   
4028.133   74.7000    8.79000    277.900    513.7000   2.628000   0.079000    16.47000   336.5000   476.3000    4218.000   
4027.981   68.4000    9.04000    327.600    540.5000   2.558000   0.081000    10.38000   488.1000   609.7000    4240.000   
4027.829   66.3000    8.68000    395.000    561.7000   2.434000   0.056000    6.34000    534.7000   690.2999    4257.000   
4027.676   63.0000    8.65000    539.900    591.1000   2.234000   0.028000    5.27000    472.0000   619.7000    4257.000   
4027.524   55.2000    8.89000    787.800    629.7000   2.003000   0.012000    6.88000    308.7000   461.9000    4318.000   
4027.371   44.8000    11.24000   1069.200   651.2999   1.814000   -0.003000   9.15000    178.2000   345.1000    4383.000   
4027.219   36.0000    16.78000   1283.200   642.0000   1.686000   -0.030000   12.11000   139.7000   284.9000    4432.000   
4027.066   30.9000    17.39000   1408.700   623.0000   1.595000   -0.062000   17.76000   118.2000   262.6000    4478.000   
4026.914   29.3000    17.39000   1496.900   608.9000   1.524000   -0.088000   22.49000   89.0000    251.6000    4507.000   
4026.762   29.2000    17.40000   1562.300   604.1000   1.474000   -0.100000   25.74000   83.8000    250.5000    4555.000   
4026.609   28.5000    17.39000   1590.000   604.5000   1.450000   -0.102000   29.20000   81.7000    257.1000    4409.000   
4026.457   27.2000    17.39000   1587.900   603.7000   1.447000   -0.103000   33.25000   82.4000    253.2000    4186.000   
4026.305   26.7000    17.41000   1574.200   599.7999   1.451000   -0.104000   36.32000   81.5000    256.5000    4242.000   
4026.152   27.9000    17.39000   1559.100   596.5000   1.456000   -0.100000   38.50000   73.9000    255.4000    4327.000   
4026.000   29.7000    17.39000   1530.100   600.6000   1.475000   -0.083000   40.82000   76.0000    252.1000    4381.000   
4025.847   30.1000    17.41000   1447.700   608.6000   1.527000   -0.054000   42.71000   78.2000    252.6000    4438.000   
4025.695   29.0000    17.39000   1297.400   613.6000   1.616000   -0.026000   43.20000   81.7000    259.1000    4440.000   
4025.542   28.0000    17.40000   1140.500   615.2999   1.708000   -0.011000   42.68000   73.1000    232.2000    4501.000   
4025.390   28.2000    17.40000   1069.100   615.4000   1.756000   -0.015000   42.14000   70.9000    217.2000    4574.000   
