WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP           GR         LLD         LLS         RLLD        RLLS        TENS       
M          MV           GAPI       OHMM        OHMM        OHMM        OHMM        LB         
3995.672   41.70000     70.8000    104.2317    112.2018    95.7194     101.1580    4287.000   
3995.520   41.80000     73.7000    88.9201     94.8418     76.3836     81.0961     4298.000   
3995.367   41.20000     65.8000    80.7235     86.2979     73.6207     78.1628     4308.000   
3995.215   40.90000     53.3000    80.1678     86.8960     76.2079     82.0352     4303.000   
3995.062   40.60000     43.8000    87.0964     95.9401     82.0352     89.7429     4298.000   
3994.910   39.70000     39.4000    96.6051     108.1434    93.1108     103.5142    4272.000   
3994.758   39.30000     38.0000    105.6817    119.9499    111.4294    126.7652    4267.000   
3994.605   39.30000     36.8000    114.8153    132.4341    120.5036    138.6756    4283.000   
3994.453   39.30000     34.6000    121.6186    141.5794    121.8989    141.5794    4300.000   
3994.300   39.40000     32.4000    121.6186    142.5608    127.3503    151.7050    4307.000   
3994.148   39.80000     32.6000    114.8153    135.2073    127.3503    150.6607    4313.000   
3993.996   40.30000     37.4000    103.2761    121.6186    111.4294    131.5225    4318.000   
3993.843   41.20000     46.8000    88.1049     103.0386    86.6962     101.1580    4325.000   
3993.691   41.70000     56.4000    71.2853     82.4138     64.2688     73.9605     4330.000   
3993.539   41.90000     59.1000    56.7545     64.7142     51.5229     58.0764     4328.000   
3993.386   43.80000     53.7000    48.0839     53.9511     43.1519     47.9733     4303.000   
3993.234   44.60000     45.7000    46.3447     51.0505     38.3707     43.0527     4305.000   
3993.082   45.70000     41.2000    51.6416     56.1048     43.4510     46.8813     4313.000   
3992.929   46.70000     42.1000    57.6767     60.8135     55.4626     59.5662     4323.000   
3992.776   48.30000     51.1000    60.5341     62.5173     77.9830     83.3681     4320.000   
3992.624   49.30000     69.5000    60.3949     61.8016     73.6207     71.2853     4316.000   
3992.472   50.60000     91.3000    56.4937     57.2796     52.8445     51.7607     4310.000   
3992.319   52.30000     106.8000   48.3059     48.4172     42.5598     43.0527     4320.000   
3992.167   52.50000     112.8000   42.1696     43.3511     35.8096     37.1535     4317.000   
3992.015   53.40000     112.8000   40.2717     42.4620     37.2392     39.2645     4322.000   
3991.862   54.40000     109.7000   40.2717     43.3511     42.5598     45.8142     4320.000   
3991.710   54.60000     105.3000   41.4000     45.3942     43.5512     47.0977     4306.000   
3991.557   54.90000     102.7000   42.1696     46.7735     42.6580     47.7529     4306.000   
3991.405   55.30000     103.3000   41.6869     46.6659     41.4000     47.0977     4327.000   
3991.252   55.50000     104.4000   41.4000     46.5586     40.8319     46.4515     4316.000   
3991.100   55.30000     103.8000   41.7830     46.5586     40.3645     45.3942     4309.000   
3990.948   55.30000     100.7000   42.6580     46.7735     42.0727     46.1318     4298.000   
3990.795   55.70000     95.9000    43.8531     47.0977     44.4631     48.0839     4291.000   
3990.643   55.50000     90.8000    45.8142     47.8630     45.6037     48.1948     4296.000   
3990.491   55.30000     87.6000    49.5450     50.2343     47.0977     47.8630     4298.000   
3990.338   54.80000     85.6000    56.1048     55.4626     49.8884     49.0908     4303.000   
3990.186   53.90000     81.3000    68.8652     66.2216     60.8135     58.4790     4301.000   
3990.033   52.90000     73.1000    97.4989     90.3649     77.2681     73.9605     4300.000   
3989.881   52.40000     64.9000    148.2518    134.5860    109.3956    101.8591    4303.000   
3989.729   52.90000     61.9000    182.3895    165.1961    190.9853    169.0441    4303.000   
3989.576   50.90000     63.7000    197.6970    179.0606    303.3892    271.0192    4316.000   
3989.424   50.20000     66.3000    198.6095    181.1340    231.2065    211.3489    4315.000   
3989.271   49.70000     66.6000    179.8871    166.7247    153.8155    143.2188    4325.000   
3989.119   48.50000     65.8000    138.6756    132.1296    115.0801    112.7198    4359.000   
3988.966   47.90000     64.8000    114.8153    112.7198    97.2747     95.7194     4384.000   
3988.814   48.00000     63.3000    110.1539    109.9006    97.0510     98.1748     4418.000   
3988.662   47.80000     60.8000    112.4605    112.9796    111.1732    114.2879    4417.000   
3988.509   47.10000     59.8000    115.6112    115.6112    130.9182    129.7179    4413.000   
3988.357   47.10000     63.6000    115.3453    115.0801    126.4736    127.0574    4318.000   
3988.205   47.20000     71.7000    111.4294    109.9006    112.7198    109.9006    4250.000   
3988.052   46.40000     79.5000    105.4387    103.2761    96.3829     95.4993     4242.000   
3987.900   46.20000     81.3000    106.1696    102.0940    90.7820     88.1049     4281.000   
3987.748   46.80000     75.9000    115.8777    110.6624    101.3911    95.9401     4303.000   
3987.595   46.60000     67.2000    135.2073    127.6439    129.7179    121.6186    4308.000   
3987.442   45.90000     60.1000    157.7611    148.5935    162.1810    152.4053    4305.000   
3987.290   46.20000     56.3000    173.7801    163.3052    193.1968    180.3018    4303.000   
3987.138   46.00000     54.8000    177.4190    167.1091    203.7042    194.0886    4296.000   
3986.985   45.60000     56.4000    171.3957    161.4358    181.5516    169.0441    4281.000   
3986.833   46.10000     63.8000    155.5965    146.5547    148.2518    140.6047    4286.000   
3986.681   46.90000     76.4000    133.9677    125.8925    130.9182    123.3105    4290.000   
