WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3972.203   96.7000    8.449999   8413.95    60.90000   299.0000   291.0000   415.0000   404.0000   4396.000   
3972.050   100.3000   8.459999   6367.95    60.40000   300.0000   293.0000   412.0000   404.0000   4396.000   
3971.898   98.4000    8.500000   2238.72    59.50000   300.0000   293.0000   415.0000   410.0000   4396.000   
3971.745   93.4000    8.529999   152.76     58.60000   302.0000   293.0000   416.0000   413.0000   4372.000   
3971.593   92.6000    8.459999   2208.00    58.60000   306.0000   300.0000   415.0000   413.0000   4382.000   
3971.440   99.5000    8.459999   6367.95    59.70000   301.0000   301.0000   418.0000   415.0000   4382.000   
3971.288   108.4000   8.490000   8433.35    61.20000   298.0000   301.0000   425.0000   422.0000   4372.000   
3971.136   112.0000   8.539999   6338.70    62.20000   297.0000   299.0000   427.0000   426.0000   4352.000   
3970.983   109.6000   8.469999   2167.70    62.40000   299.0000   298.0000   429.0000   429.0000   4328.000   
3970.831   104.8000   8.430000   106.91     61.90000   301.0000   299.0000   427.0000   430.0000   4333.000   
3970.679   100.0000   8.459999   149.97     60.70000   301.0000   299.0000   426.0000   427.0000   4352.000   
3970.526   95.7000    8.449999   173.78     59.20000   301.0000   299.0000   423.0000   424.0000   4362.000   
3970.374   92.7000    8.469999   480.84     58.20000   303.0000   300.0000   417.0000   419.0000   4377.000   
3970.221   91.4000    8.430000   1116.86    57.70000   306.0000   301.0000   413.0000   416.0000   4377.000   
3970.069   92.4000    8.439999   1468.93    57.70000   308.0000   305.0000   414.0000   411.0000   4362.000   
3969.917   94.7000    8.469999   1161.45    58.50000   301.0000   302.0000   417.0000   415.0000   4362.000   
3969.764   96.0000    8.430000   475.34     59.00000   299.0000   300.0000   418.0000   421.0000   4348.000   
3969.612   95.8000    8.439999   2167.70    59.20000   296.0000   297.0000   423.0000   424.0000   4352.000   
3969.459   95.6000    8.379999   6324.12    59.80000   295.0000   297.0000   423.0000   424.0000   4348.000   
3969.307   95.7000    8.410000   8472.27    60.20000   296.0000   293.0000   425.0000   422.0000   4348.000   
3969.154   94.1000    8.449999   6456.54    60.10000   295.0000   294.0000   421.0000   418.0000   4348.000   
3969.002   90.7000    8.449999   2290.87    59.70000   296.0000   292.0000   420.0000   415.0000   4372.000   
