WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         BIT        FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         GAPI       IN         CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5894.729   8.52335    12.0788    8.500000   479.249    630.4866   2.413295   0.192393    1068.233   827.9619   0.6657     6056.385   
5894.576   8.55264    12.4385    8.500000   482.580    628.7798   2.410456   0.188771    1098.460   841.5792   0.6011     6161.305   
5894.424   8.55264    13.4121    8.500000   487.832    625.5740   2.399470   0.182382    1133.676   851.6213   0.5237     6224.135   
5894.271   8.53799    14.4470    8.500000   493.975    624.4083   2.389353   0.178340    1144.330   851.3380   0.5122     6265.005   
5894.119   8.55264    14.9237    8.500000   497.515    624.5764   2.382832   0.177137    1101.154   839.0585   0.6058     6294.284   
5893.967   8.56363    15.5635    8.500000   499.098    623.8129   2.378068   0.175490    1004.105   794.8845   0.7765     6313.500   
5893.814   8.55264    16.8789    8.500000   504.471    625.4967   2.368878   0.175577    894.823    728.2687   0.9178     6327.225   
5893.662   8.56729    17.7030    8.500000   520.631    629.2966   2.343918   0.174283    817.583    666.0513   0.9625     6335.765   
5893.510   8.56729    18.4384    8.500000   563.189    636.6466   2.298460   0.168179    790.592    644.4629   0.9870     6330.274   
5893.357   8.58194    18.7241    8.500000   610.380    639.2383   2.246359   0.155457    799.329    659.5076   1.0611     6307.095   
5893.205   8.58194    18.8045    8.500000   627.587    626.1050   2.214785   0.132747    814.904    688.9640   1.1846     6241.215   
5893.052   8.59659    19.0351    8.500000   586.768    593.7766   2.233860   0.102371    820.240    703.5897   1.2692     6181.435   
5892.899   8.58194    19.7564    8.500000   502.547    573.8013   2.310638   0.105049    822.998    705.2286   1.3131     6137.515   
5892.747   8.56730    19.7256    8.500000   432.638    572.9832   2.403729   0.133802    822.714    709.3030   1.3711     6114.335   
5892.595   8.58194    18.9491    8.500000   418.807    592.8041   2.456757   0.168400    818.212    716.9282   1.4770     6115.555   
5892.442   8.58194    18.3644    8.500000   447.810    622.9561   2.456635   0.196023    808.590    722.9646   1.5990     6141.784   
5892.290   8.59659    19.5424    8.500000   484.752    644.0455   2.431564   0.207697    797.148    716.5856   1.6590     6191.805   
5892.138   8.59659    23.3114    8.500000   502.320    648.4882   2.413606   0.206265    785.643    706.1923   1.6600     6223.220   
5891.985   8.59659    27.6645    8.500000   502.677    653.7715   2.408785   0.212829    780.143    697.8596   1.6489     6254.635   
5891.833   8.61124    29.4716    8.500000   507.799    655.8135   2.406269   0.213380    788.366    707.5698   1.6219     6253.415   
5891.681   8.62589    27.2712    8.500000   505.441    647.8567   2.401269   0.204223    812.577    722.6245   1.5975     6304.350   
5891.528   8.62589    23.6581    8.500000   502.823    642.9108   2.392921   0.198926    823.859    735.8033   1.6360     6295.505   
5891.376   8.61124    20.3610    8.500000   512.883    639.2319   2.375530   0.190225    813.161    739.8906   1.8093     6237.555   
5891.224   8.62955    19.8447    8.500000   530.378    638.2274   2.348141   0.182224    784.096    737.1663   2.0823     6153.375   
5891.071   8.63614    21.4008    8.500000   549.129    633.1394   2.319288   0.168665    752.209    729.8148   2.3969     6098.475   
5890.919   8.62955    24.8927    8.500000   559.351    627.7242   2.300296   0.157882    733.213    723.5062   2.5799     6066.449   
5890.767   8.64053    28.5150    8.500000   550.668    618.6562   2.301001   0.148982    727.662    711.2479   2.5220     6075.904   
5890.614   8.65518    31.5865    8.500000   535.323    619.7671   2.317385   0.156111    722.710    696.1346   2.3517     6082.005   
5890.462   8.64053    33.5109    8.500000   529.234    628.3667   2.336129   0.169787    708.118    673.9196   2.2671     6157.035   
5890.309   8.64053    33.6484    8.500000   525.942    633.0574   2.346069   0.177179    671.514    642.9005   2.3301     6204.005   
5890.156   8.66982    31.6131    8.500000   521.299    625.9556   2.333697   0.169627    622.150    608.5194   2.5996     6242.435   
5890.004   8.64602    28.3534    8.500000   549.057    617.2994   2.290576   0.147753    576.014    585.8676   3.1641     6258.295   
5889.852   8.68447    24.7901    8.500000   592.169    610.4331   2.230431   0.123404    553.499    581.9688   3.7264     6235.725   
5889.699   8.66982    22.1931    8.500000   637.246    613.3162   2.183238   0.112637    557.907    600.1272   4.1247     6174.725   
5889.547   8.66983    21.6351    8.500000   661.958    624.7101   2.163446   0.120246    580.806    626.3927   4.3235     6173.199   
5889.395   8.68447    22.4036    8.500000   664.349    631.3419   2.169121   0.128255    592.578    645.5914   4.4749     6172.895   
5889.242   8.67898    23.6019    8.500000   644.633    632.8802   2.183843   0.136285    594.587    655.0115   4.7132     6232.675   
5889.090   8.66983    24.1302    8.500000   641.689    634.2791   2.194097   0.139024    586.399    655.2126   4.8990     6230.234   
