WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3        DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       OHMM       OHMM       US/F       US         US         US         US         LB         
2675.736   49.4000    12.29000   13.9       19.1       48.5288    61.30000   374.0000   366.0000   480.0000   500.0000   3109.000   
2675.583   47.5000    12.31000   13.7       18.5       46.7735    63.70000   366.0000   360.0000   493.0000   500.0000   3093.000   
2675.431   45.2000    12.35000   13.6       18.3       48.4172    64.30000   356.0000   359.0000   499.0000   502.0000   3120.000   
2675.278   44.2000    12.33000   13.6       18.4       52.1195    62.80000   363.0000   366.0000   497.0000   500.0000   3137.000   
2675.126   46.0000    12.24000   13.5       18.7       54.8277    60.40000   366.0000   372.0000   494.0000   494.0000   3138.000   
2674.974   50.3000    12.24000   13.5       19.0       54.2001    58.30000   372.0000   376.0000   494.0000   490.0000   3128.000   
2674.821   55.5000    12.36000   13.6       19.1       53.0884    57.70000   377.0000   378.0000   488.0000   488.0000   3119.000   
2674.669   63.7000    12.36000   13.8       19.1       53.5797    58.70000   375.0000   374.0000   484.0000   488.0000   3100.000   
2674.517   78.2000    12.31000   14.0       19.2       54.3250    59.80000   374.0000   370.0000   478.0000   493.0000   3108.000   
2674.364   92.6000    12.27000   14.4       19.5       48.1948    59.80000   372.0000   365.0000   477.0000   501.0000   3065.000   
