WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3         DT         TENS   
M          GAPI       IN         OHMM       OHMM       OHMM        US/F       LB     
3386.225   36.9000    12.46000   336.5      84.5       272.8978    49.00000   3812   
3386.072   37.4000    12.46000   381.9      87.1       283.1393    48.90000   3806   
3385.920   37.2000    12.46000   369.0      87.1       291.7427    49.00000   3798   
3385.767   37.1000    12.55000   340.4      86.7       287.7399    48.90000   3801   
3385.615   37.0000    12.29000   341.2      88.3       278.6122    48.90000   3801   
3385.462   36.6000    12.31000   373.3      91.4       268.5345    49.20000   3796   
3385.310   35.7000    12.31000   391.7      92.9       263.0269    49.80000   3786   
3385.158   35.3000    13.26000   390.8      91.0       257.6321    50.50000   3781   
3385.005   35.7000    13.21000   354.0      87.3       253.5129    50.70000   3795   
3384.853   36.5000    13.18000   349.1      84.3       247.7422    50.30000   3803   
3384.701   37.6000    13.00000   391.7      83.2       237.6841    50.10000   3808   
3384.548   37.9000    13.00000   490.9      83.6       226.9865    50.00000   3801   
3384.396   37.5000    12.99000   515.2      85.3       221.8197    50.20000   3803   
3384.243   36.5000    12.96000   488.7      88.3       223.8722    50.70000   3790   
3384.091   35.4000    12.96000   407.4      91.8       222.8436    50.80000   3789   
3383.938   35.5000    13.00000   365.6      93.5       210.8629    51.00000   3781   
3383.786   36.4000    13.06000   368.1      93.8       194.5360    52.40000   3802   
3383.634   36.8000    12.76000   387.3      93.1       181.1340    54.10000   3792   
3383.481   36.1000    12.34000   375.0      91.2       175.3881    54.50000   3797   
3383.329   34.9000    12.40000   375.8      87.3       177.0109    53.20000   3788   
3383.177   34.4000    14.60000   385.5      82.0       183.2315    51.50000   3792   
3383.024   34.3000    14.61000   415.0      79.3       189.6706    50.50000   3805   
3382.872   34.7000    14.63000   430.5      80.0       190.1079    49.90000   3804   
3382.719   35.7000    13.75000   448.7      82.0       187.9317    49.90000   3812   
3382.567   36.5000    13.28000   484.2      82.2       192.7525    50.40000   3809   
3382.415   36.7000    14.16000   480.8      79.6       210.8629    50.60000   3802   
3382.262   35.7000    13.46000   439.5      77.8       231.7395    50.40000   3802   
3382.110   34.2000    13.11000   408.3      79.4       242.1030    50.10000   3790   
3381.958   33.7000    12.85000   412.1      83.2       236.5920    50.20000   3802   
3381.805   34.9000    13.09000   476.4      86.5       225.9436    50.60000   3802   
3381.652   37.0000    12.46000   487.5      87.3       215.2782    50.90000   3795   
