WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP         GR         CALI       ILD        SN         TENS       
M          MV         GAPI       IN         OHMM       OHMM       LB         
3998.263   29.40000   37.1000    8.86000    53.2       36.05787   4254.000   
3998.110   30.20000   40.5000    8.86000    60.8       37.32502   4305.000   
3997.958   31.50000   45.2000    8.87000    69.8       38.63670   4327.000   
3997.806   32.70000   48.3000    8.87000    80.7       39.71915   4301.000   
3997.653   34.20000   49.9000    9.35000    91.4       40.55086   4401.000   
3997.501   34.20000   52.3000    9.69000    97.7       41.11497   4455.000   
3997.349   34.30000   55.5000    9.67000    100.7      41.39996   4500.000   
3997.196   35.60000   56.2000    9.68000    102.3      41.49541   4547.000   
3997.044   35.90000   52.7000    9.69000    104.7      41.59106   4655.000   
3996.891   36.50000   49.5000    9.68000    106.7      41.68694   4650.000   
3996.739   37.20000   50.6000    9.67000    106.4      41.78304   4406.000   
3996.586   38.40000   54.3000    9.66000    105.7      41.87936   4236.000   
3996.434   38.20000   57.2000    9.81000    106.4      42.07265   4318.000   
3996.282   38.40000   59.2000    9.93000    106.2      42.36430   4391.000   
3996.129   39.80000   63.3000    9.90000    101.4      42.36430   4439.000   
3995.977   40.10000   69.3000    9.92000    94.0       42.36430   4492.000   
3995.825   40.70000   72.9000    9.92000    87.3       42.36430   4519.000   
3995.672   40.70000   72.3000    9.92000    82.8       42.16965   4463.000   
3995.520   40.70000   68.3000    9.80000    80.2       41.97590   4445.000   
3995.367   40.20000   61.4000    9.53000    78.3       41.68694   4388.000   
3995.215   40.40000   52.4000    9.25000    77.6       41.39996   4317.000   
3995.062   40.30000   43.2000    9.15000    76.9       40.92606   4283.000   
3994.910   39.30000   36.8000    9.12000    76.6       40.45759   4346.000   
3994.758   38.40000   34.8000    9.13000    76.6       39.90248   4384.000   
3994.605   38.30000   34.5000    9.08000    75.9       39.44572   4402.000   
3994.453   38.30000   34.6000    9.00000    73.1       39.08409   4389.000   
3994.300   38.00000   35.8000    8.99000    67.0       38.81503   4409.000   
3994.148   38.60000   38.9000    9.00000    60.0       38.45918   4390.000   
3993.996   39.10000   44.7000    8.97000    54.0       38.10658   4366.000   
3993.843   38.80000   52.5000    9.01000    50.4       37.58374   4350.000   
3993.691   39.70000   60.6000    8.97000    49.1       36.81290   4302.000   
3993.539   40.30000   64.3000    8.99000    47.4       35.80965   4350.000   
3993.386   40.80000   60.3000    8.97000    44.9       34.67368   4422.000   
3993.234   42.30000   51.7000    8.97000    42.4       33.65115   4464.000   
3993.082   44.30000   44.0000    8.99000    40.6       32.88515   4508.000   
3992.929   45.60000   43.8000    8.96000    39.6       32.35936   4547.000   
3992.776   45.90000   55.0000    8.96000    38.7       31.98895   4605.000   
3992.624   47.70000   74.7000    8.96000    37.8       31.91537   4644.000   
3992.472   48.80000   93.8000    8.95000    38.0       31.84198   4699.000   
