WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL       TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM       US         US         US         US         US/F       MS         OHMM       OHMM       LB         
4003.292   9.70103    86.7865    22.225     297.0000   292.0000   424.0000   414.0000   59.26743   0.0        34.918     32.256     4141.899   
4003.140   9.80060    82.0288    19.828     298.0000   292.0000   425.0000   419.0000   61.36831   0.0        30.809     27.072     4163.250   
4002.987   9.90448    77.9883    17.469     305.0000   296.0000   427.0000   421.0000   63.04347   0.0        27.278     22.753     4186.734   
4002.835   9.98339    79.3626    17.045     307.0000   298.0000   431.0000   423.0000   63.85550   0.0        24.244     20.044     4213.880   
4002.683   10.00807   88.2584    17.762     306.0000   301.0000   430.0000   423.0000   63.96825   0.0        21.923     17.868     4243.465   
4002.530   10.03131   98.9572    18.436     304.0000   303.0000   427.0000   425.0000   63.95955   0.0        20.078     16.610     4237.060   
4002.378   10.03074   110.3783   18.599     305.0000   301.0000   425.0000   422.0000   64.01895   0.0        18.873     15.790     4223.944   
4002.225   10.04020   113.6146   19.999     301.0000   301.0000   425.0000   422.0000   64.30739   0.0        18.451     15.573     4192.529   
4002.073   10.04221   111.0354   21.304     301.0000   301.0000   424.0000   421.0000   64.34317   0.0        18.822     15.568     4170.265   
4001.920   10.02729   104.5659   20.467     301.0000   301.0000   422.0000   420.0000   63.80429   0.0        19.797     16.004     4198.020   
4001.768   10.00319   95.3531    19.547     299.0000   295.0000   422.0000   420.0000   62.64340   0.0        21.697     15.770     4174.840   
4001.616   9.96416    81.0786    17.618     296.0000   293.0000   421.0000   422.0000   61.24133   0.0        23.096     16.064     4184.295   
4001.463   9.93145    65.0690    17.607     292.0000   286.0000   420.0000   420.0000   59.93343   0.0        24.432     17.830     4190.395   
4001.311   9.83102    47.5768    16.489     288.0000   286.0000   416.0000   415.0000   59.24131   0.0        25.684     22.599     4183.685   
4001.159   9.74092    32.5023    12.366     291.0000   291.0000   414.0000   410.0000   59.34228   0.0        28.773     31.600     4182.465   
4001.006   9.67348    22.6569    10.530     296.0000   293.0000   415.0000   406.0000   59.93543   0.0        33.380     44.589     4176.975   
4000.854   9.67664    17.9926    12.284     298.0000   296.0000   414.0000   408.0000   60.66854   0.0        42.041     52.686     4176.975   
4000.701   9.69156    17.8974    14.318     298.0000   293.0000   418.0000   410.0000   61.08703   0.0        48.645     52.744     4180.939   
4000.549   9.71251    20.2188    13.394     299.0000   292.0000   421.0000   414.0000   61.00716   0.0        53.597     52.368     4187.955   
4000.396   9.72657    22.4901    11.894     298.0000   294.0000   419.0000   415.0000   60.46823   0.0        54.701     52.426     4190.699   
4000.244   9.73804    23.1752    12.882     296.0000   293.0000   422.0000   414.0000   59.99848   0.0        56.520     50.384     4183.380   
4000.092   9.71452    22.8972    15.026     297.0000   293.0000   425.0000   419.0000   59.86274   0.0        54.317     46.794     4173.925   
3999.939   9.67119    21.6985    12.594     298.0000   293.0000   425.0000   421.0000   60.11425   0.0        50.875     44.522     4169.960   
3999.787   9.60490    21.3190    8.728      300.0000   297.0000   427.0000   422.0000   60.70493   0.0        46.976     42.408     4161.420   
3999.635   9.51652    21.5768    7.572      303.0000   299.0000   428.0000   421.0000   61.45541   0.0        44.989     40.420     4160.505   
3999.482   9.44593    22.2114    7.676      305.0000   301.0000   429.0000   423.0000   62.22388   0.0        45.469     38.657     4158.064   
3999.330   9.39887    22.7675    8.658      306.0000   301.0000   431.0000   425.0000   62.87293   0.0        47.503     36.678     4165.995   
3999.177   9.42211    24.1036    5.612      306.0000   303.0000   429.0000   424.0000   63.22691   0.0        48.019     35.347     4175.755   
3999.025   9.45770    24.4116    3.688      306.0000   304.0000   425.0000   420.0000   63.23821   0.0        47.615     35.615     4172.095   
3998.873   9.50476    23.5945    2.970      307.0000   302.0000   421.0000   420.0000   62.81553   1.000000   48.064     38.080     4175.755   
3998.720   9.55325    21.7773    3.602      305.0000   297.0000   420.0000   416.0000   62.06456   0.0        49.645     43.085     4174.535   
3998.568   9.60691    21.5647    7.086      299.0000   293.0000   420.0000   416.0000   61.17365   0.0        53.283     49.982     4172.095   
3998.416   9.70361    22.8424    17.776     294.0000   291.0000   413.0000   413.0000   60.17930   0.0        59.056     57.582     4169.655   
3998.263   9.79400    26.6192    13.880     296.0000   290.0000   411.0000   409.0000   59.14705   0.0        65.134     64.308     4170.265   
3998.110   9.87205    30.9464    13.684     295.0000   286.0000   413.0000   406.0000   58.38320   0.0        71.301     70.000     4176.975   
3997.958   9.86373    33.9406    12.023     292.0000   287.0000   410.0000   402.0000   57.96520   0.0        77.113     73.114     4181.854   
3997.806   9.83934    35.5506    25.598     290.0000   288.0000   408.0000   402.0000   57.90318   0.0        80.995     72.829     4186.124   
3997.653   9.83331    35.9364    2000.000   292.0000   287.0000   406.0000   403.0000   58.06505   0.0        84.157     70.623     4184.904   
3997.501   9.99199    34.2765    2000.000   291.0000   287.0000   406.0000   403.0000   58.32634   0.0        87.882     70.839     4183.075   
3997.349   10.21008   33.3747    69.178     292.0000   288.0000   408.0000   402.0000   58.53225   0.0        93.125     74.997     4174.535   
