WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3888.078   18.9000    7.28000    5.27       68.89999   331.0000   334.0000   471.0000   473.0000   4270.000   
3887.925   18.5000    7.36000    5.36       69.20000   329.0000   332.0000   470.0000   472.0000   4265.000   
3887.773   18.2000    7.40000    5.30       69.70000   328.0000   331.0000   469.0000   471.0000   4274.000   
3887.621   18.3000    7.44000    5.00       70.00000   327.0000   330.0000   468.0000   470.0000   4270.000   
3887.468   18.5000    7.34000    4.70       70.09999   327.0000   331.0000   467.0000   470.0000   4250.000   
3887.316   18.0000    7.17000    4.68       70.00000   327.0000   331.0000   468.0000   470.0000   4250.000   
3887.163   17.4000    7.18000    5.08       69.70000   328.0000   331.0000   468.0000   470.0000   4245.000   
3887.011   18.4000    7.07000    5.96       69.00000   328.0000   332.0000   469.0000   471.0000   4240.000   
3886.858   20.6000    7.27000    7.14       68.20000   329.0000   332.0000   468.0000   471.0000   4260.000   
3886.706   21.9000    7.15000    8.15       67.20000   330.0000   333.0000   469.0000   472.0000   4250.000   
3886.554   21.4000    7.18000    8.85       66.20000   330.0000   333.0000   468.0000   470.0000   4270.000   
3886.401   20.5000    7.32000    9.62       65.39999   330.0000   333.0000   468.0000   469.0000   4260.000   
3886.249   20.8000    7.29000    10.00      65.09999   328.0000   330.0000   466.0000   466.0000   4270.000   
3886.097   21.5000    7.35000    9.73       65.20000   327.0000   330.0000   462.0000   464.0000   4255.000   
3885.944   21.6000    7.45000    8.79       65.70000   324.0000   326.0000   460.0000   460.0000   4255.000   
3885.792   20.8000    7.31000    8.02       66.09999   320.0000   323.0000   457.0000   459.0000   4260.000   
3885.639   19.5000    7.32000    7.64       66.20000   318.0000   321.0000   456.0000   457.0000   4270.000   
3885.487   18.4000    7.34000    7.64       66.09999   317.0000   320.0000   454.0000   455.0000   4255.000   
3885.334   17.5000    7.32000    7.94       66.00000   317.0000   320.0000   452.0000   452.0000   4255.000   
3885.182   17.3000    7.35000    8.07       66.00000   316.0000   319.0000   451.0000   452.0000   4250.000   
3885.030   17.4000    7.37000    7.94       66.00000   316.0000   321.0000   449.0000   452.0000   4260.000   
3884.877   16.9000    7.31000    7.82       65.89999   317.0000   321.0000   448.0000   451.0000   4289.000   
3884.725   16.4000    7.28000    7.94       65.70000   316.0000   321.0000   449.0000   451.0000   4284.000   
3884.573   16.4000    7.21000    8.63       65.30000   317.0000   321.0000   451.0000   452.0000   4279.000   
3884.420   16.3000    7.29000    10.00      65.00000   316.0000   320.0000   450.0000   453.0000   4245.000   
3884.268   15.6000    7.35000    11.12      65.20000   315.0000   319.0000   448.0000   451.0000   4226.000   
3884.115   15.1000    7.40000    10.89      65.70000   316.0000   318.0000   448.0000   449.0000   4221.000   
3883.963   15.6000    7.30000    10.00      66.00000   313.0000   317.0000   447.0000   448.0000   4240.000   
3883.811   16.9000    7.37000    9.44       65.80000   312.0000   316.0000   447.0000   448.0000   4240.000   
3883.658   18.1000    7.35000    9.35       65.70000   312.0000   316.0000   446.0000   448.0000   4240.000   
3883.506   19.3000    7.38000    9.44       66.09999   312.0000   316.0000   446.0000   447.0000   4250.000   
3883.354   19.9000    7.33000    9.27       66.80000   312.0000   316.0000   446.0000   447.0000   4235.000   
3883.201   19.5000    7.49000    8.93       67.20000   312.0000   316.0000   445.0000   447.0000   4235.000   
3883.048   18.5000    7.44000    8.20       67.20000   313.0000   317.0000   446.0000   449.0000   4235.000   
3882.896   17.5000    7.07000    7.89       67.39999   314.0000   319.0000   449.0000   451.0000   4230.000   
3882.744   17.4000    7.42000    8.41       67.80000   314.0000   320.0000   452.0000   454.0000   4250.000   
3882.591   18.0000    7.53000    8.93       68.20000   317.0000   321.0000   451.0000   452.0000   4255.000   
3882.439   18.8000    7.48000    8.20       68.50000   317.0000   322.0000   454.0000   455.0000   4240.000   
3882.287   18.9000    7.42000    6.90       68.09999   318.0000   321.0000   455.0000   457.0000   4235.000   
3882.134   17.9000    7.39000    6.25       67.59999   321.0000   325.0000   457.0000   458.0000   4216.000   
3881.982   16.3000    7.38000    6.34       67.39999   323.0000   326.0000   458.0000   459.0000   4211.000   
3881.829   15.0000    7.40000    6.59       67.09999   323.0000   325.0000   460.0000   461.0000   4226.000   
3881.677   14.5000    7.35000    6.81       66.89999   321.0000   326.0000   459.0000   461.0000   4230.000   
3881.524   15.1000    7.32000    7.00       66.80000   324.0000   327.0000   458.0000   460.0000   4235.000   
3881.372   15.9000    7.37000    7.26       66.89999   324.0000   326.0000   458.0000   459.0000   4240.000   
3881.220   16.8000    7.40000    7.46       67.20000   321.0000   324.0000   459.0000   460.0000   4230.000   
3881.067   17.6000    7.37000    7.46       67.59999   320.0000   323.0000   457.0000   459.0000   4226.000   
3880.915   18.4000    7.37000    7.36       67.39999   319.0000   322.0000   456.0000   458.0000   4216.000   
3880.763   19.1000    7.44000    7.26       67.09999   319.0000   322.0000   456.0000   457.0000   4211.000   
3880.610   19.0000    7.44000    7.00       67.09999   318.0000   321.0000   456.0000   457.0000   4216.000   
3880.458   18.3000    7.49000    6.59       67.00000   319.0000   321.0000   455.0000   456.0000   4211.000   
3880.305   17.6000    7.49000    6.07       67.30000   320.0000   322.0000   456.0000   457.0000   4206.000   
3880.153   17.0000    7.50000    5.62       68.09999   319.0000   321.0000   457.0000   457.0000   4201.000   
3880.000   16.6000    7.52000    5.30       68.70000   321.0000   323.0000   456.0000   457.0000   4255.000   
3879.848   15.8000    7.44000    5.06       69.09999   321.0000   323.0000   457.0000   457.0000   4299.000   
3879.696   15.7000    7.30000    4.93       69.50000   320.0000   323.0000   460.0000   461.0000   4250.000   
3879.543   17.2000    7.38000    4.95       69.89999   321.0000   323.0000   462.0000   462.0000   4221.000   
3879.391   19.4000    7.44000    5.11       70.00000   323.0000   324.0000   462.0000   462.0000   4187.000   
3879.238   20.1000    7.44000    5.19       70.00000   326.0000   327.0000   463.0000   463.0000   4187.000   
3879.086   18.5000    7.44000    5.21       69.80000   327.0000   330.0000   465.0000   465.0000   4191.000   
3878.934   17.1000    7.44000    5.24       69.50000   328.0000   331.0000   467.0000   468.0000   4206.000   
3878.781   17.1000    7.47000    5.38       68.80000   329.0000   333.0000   469.0000   471.0000   4201.000   
3878.629   17.7000    7.51000    5.53       68.09999   332.0000   335.0000   471.0000   471.0000   4182.000   
3878.477   17.5000    7.52000    5.56       67.59999   333.0000   336.0000   470.0000   471.0000   4177.000   
3878.324   17.3000    7.39000    5.56       67.30000   333.0000   335.0000   470.0000   472.0000   4172.000   
3878.172   18.2000    7.31000    5.86       67.20000   333.0000   334.0000   470.0000   471.0000   4172.000   
3878.020   19.6000    7.36000    6.76       67.50000   331.0000   332.0000   469.0000   470.0000   4191.000   
3877.867   19.9000    7.44000    7.94       67.80000   329.0000   331.0000   468.0000   469.0000   4201.000   
3877.714   19.5000    7.52000    8.71       67.89999   327.0000   330.0000   465.0000   467.0000   4221.000   
3877.562   18.9000    7.51000    8.41       67.59999   327.0000   331.0000   464.0000   466.0000   4206.000   
3877.410   18.5000    7.36000    8.15       67.00000   324.0000   328.0000   463.0000   466.0000   4187.000   
3877.257   18.3000    7.45000    8.49       66.20000   323.0000   326.0000   464.0000   467.0000   4191.000   
