Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.00       3150.26   2.4974E+001   2.5696E+000   6.0124E+001   1.8992E+001
arenito         49.00       3150.11   2.3563E+001   2.5783E+000   6.1083E+001   1.9415E+001
arenito         49.00       3149.96   2.2485E+001   2.5797E+000   6.1725E+001   1.9666E+001
arenito         49.00       3149.80   2.1235E+001   2.5717E+000   6.1306E+001   2.0248E+001
arenito         49.00       3149.65   1.9733E+001   2.5747E+000   5.9854E+001   2.1166E+001
arenito         49.00       3149.50   1.8203E+001   2.5947E+000   5.8023E+001   2.2002E+001
arenito         49.00       3149.35   1.7155E+001   2.6245E+000   5.6425E+001   2.2753E+001
arenito         49.00       3149.19   1.6480E+001   2.6559E+000   5.5581E+001   2.3842E+001
arenito         49.00       3149.04   1.6284E+001   2.6694E+000   5.5239E+001   2.4927E+001
arenito         49.00       3148.89   1.7764E+001   2.6479E+000   5.4828E+001   2.6271E+001
arenito         49.00       3148.74   2.1935E+001   2.6343E+000   5.4672E+001   2.7603E+001
arenito         49.00       3148.58   2.3554E+001   2.6330E+000   5.5040E+001   2.8685E+001
arenito         49.00       3148.43   2.8043E+001   2.6578E+000   5.5580E+001   3.0377E+001
arenito         49.00       3148.28   3.3539E+001   2.6793E+000   5.6523E+001   3.1862E+001
arenito         49.00       3148.13   3.7795E+001   2.6819E+000   5.7176E+001   3.3115E+001
arenito         49.00       3147.97   4.0767E+001   2.6761E+000   5.6971E+001   3.4022E+001
arenito         49.00       3147.82   4.1751E+001   2.6782E+000   5.6516E+001   3.4947E+001
arenito         49.00       3147.67   4.1160E+001   2.6807E+000   5.6280E+001   3.6125E+001
arenito         49.00       3147.52   3.9444E+001   2.6557E+000   5.5858E+001   3.6852E+001
arenito         49.00       3147.36   3.7307E+001   2.6344E+000   5.5595E+001   3.8061E+001
arenito         49.00       3147.21   3.5821E+001   2.6399E+000   5.5759E+001   3.9208E+001
arenito         49.00       3147.06   3.4938E+001   2.6326E+000   5.5671E+001   4.0033E+001
arenito         49.00       3146.91   3.4293E+001   2.6173E+000   5.5601E+001   4.0786E+001
arenito         49.00       3146.76   3.3157E+001   2.6223E+000   5.5496E+001   4.1358E+001
arenito         49.00       3146.60   3.1750E+001   2.6461E+000   5.5103E+001   4.1859E+001
arenito         49.00       3146.45   3.1512E+001   2.6381E+000   5.4789E+001   4.2000E+001
arenito         49.00       3146.30   3.2662E+001   2.6240E+000   5.4863E+001   4.2726E+001
arenito         49.00       3146.15   3.4108E+001   2.6101E+000   5.5023E+001   4.3727E+001
arenito         49.00       3145.99   3.5809E+001   2.6169E+000   5.5206E+001   4.4730E+001
arenito         49.00       3145.84   3.9154E+001   2.6159E+000   5.5832E+001   4.5917E+001
arenito         49.00       3145.69   4.5643E+001   2.6162E+000   5.7620E+001   4.6984E+001
diamictito      44.00       3145.54   5.6620E+001   2.6340E+000   6.0282E+001   4.8540E+001
diamictito      44.00       3145.38   6.0607E+001   2.6704E+000   6.2330E+001   4.9926E+001
diamictito      44.00       3145.23   6.0490E+001   2.6610E+000   6.2859E+001   5.0992E+001
diamictito      44.00       3145.08   6.1583E+001   2.6570E+000   6.1719E+001   5.1622E+001
diamictito      44.00       3144.93   6.3854E+001   2.6819E+000   6.0186E+001   5.1937E+001
diamictito      44.00       3144.77   6.5717E+001   2.6674E+000   5.9474E+001   5.2188E+001
diamictito      44.00       3144.62   6.6803E+001   2.6555E+000   6.0211E+001   5.2438E+001
diamictito      44.00       3144.47   6.7365E+001   2.6608E+000   6.1376E+001   5.2500E+001
diamictito      44.00       3144.32   6.7361E+001   2.6607E+000   6.1625E+001   5.2690E+001
diamictito      44.00       3144.16   6.6356E+001   2.6570E+000   6.1576E+001   5.2750E+001
diamictito      44.00       3144.01   6.3590E+001   2.6499E+000   6.0892E+001   5.2750E+001
diamictito      44.00       3143.86   5.9839E+001   2.6587E+000   5.9560E+001   5.2942E+001
diamictito      44.00       3143.71   5.5176E+001   2.6612E+000   5.8126E+001   5.3193E+001
diamictito      44.00       3143.55   5.0473E+001   2.6656E+000   5.6480E+001   5.2864E+001
diamictito      44.00       3143.40   4.7264E+001   2.6724E+000   5.5105E+001   5.2556E+001
diamictito      44.00       3143.25   4.5997E+001   2.6818E+000   5.4438E+001   5.2306E+001
diamictito      44.00       3143.10   4.5756E+001   2.6676E+000   5.4406E+001   5.1666E+001
diamictito      44.00       3142.95   4.6853E+001   2.6591E+000   5.4772E+001   5.1109E+001
diamictito      44.00       3142.79   4.8224E+001   2.6604E+000   5.5635E+001   5.0804E+001
diamictito      44.00       3142.64   4.9869E+001   2.6752E+000   5.5999E+001   5.0750E+001
diamictito      44.00       3142.49   5.1124E+001   2.6814E+000   5.6002E+001   5.0750E+001
diamictito      44.00       3142.34   5.1658E+001   2.6971E+000   5.6147E+001   5.0750E+001
diamictito      44.00       3142.18   5.1795E+001   2.6906E+000   5.6109E+001   5.0551E+001
diamictito      44.00       3142.03   5.1511E+001   2.6944E+000   5.6050E+001   5.0500E+001
diamictito      44.00       3141.88   5.0535E+001   2.7040E+000   5.5962E+001   5.0500E+001
diamictito      44.00       3141.73   4.9467E+001   2.7060E+000   5.5825E+001   5.0500E+001
diamictito      44.00       3141.57   4.8115E+001   2.6899E+000   5.5481E+001   5.0500E+001
diamictito      44.00       3141.42   4.4930E+001   2.6763E+000   5.5168E+001   5.0298E+001
diamictito      44.00       3141.27   4.1320E+001   2.6691E+000   5.4874E+001   5.0047E+001
diamictito      44.00       3141.12   3.7536E+001   2.6664E+000   5.4183E+001   4.9797E+001
diamictito      44.00       3140.96   3.4741E+001   2.6717E+000   5.3638E+001   4.9546E+001
diamictito      44.00       3140.81   3.5071E+001   2.6533E+000   5.3227E+001   4.9295E+001
diamictito      44.00       3140.66   3.7590E+001   2.6498E+000   5.3358E+001   4.9044E+001
diamictito      44.00       3140.51   4.0565E+001   2.6418E+000   5.3884E+001   4.9000E+001
diamictito      44.00       3140.35   4.3262E+001   2.6623E+000   5.4351E+001   4.9413E+001
diamictito      44.00       3140.20   4.5210E+001   2.6695E+000   5.4955E+001   4.9915E+001
diamictito      44.00       3140.05   4.6138E+001   2.6692E+000   5.5429E+001   5.0000E+001
diamictito      44.00       3139.90   4.6514E+001   2.6590E+000   5.5421E+001   5.0000E+001
diamictito      44.00       3139.74   4.6878E+001   2.6402E+000   5.5364E+001   4.9791E+001
diamictito      44.00       3139.59   4.6560E+001   2.6463E+000   5.5356E+001   4.9329E+001
diamictito      44.00       3139.44   4.5984E+001   2.6463E+000   5.5233E+001   4.9250E+001
diamictito      44.00       3139.29   4.5509E+001   2.6460E+000   5.5003E+001   4.9461E+001
diamictito      44.00       3139.14   4.5758E+001   2.6596E+000   5.4924E+001   4.9500E+001
diamictito      44.00       3138.98   4.5814E+001   2.6663E+000   5.4833E+001   4.9500E+001
diamictito      44.00       3138.83   4.6070E+001   2.6636E+000   5.5069E+001   4.9500E+001
diamictito      44.00       3138.68   4.6371E+001   2.6776E+000   5.5321E+001   4.9714E+001
diamictito      44.00       3138.53   4.6543E+001   2.6954E+000   5.5524E+001   4.9750E+001
diamictito      44.00       3138.37   4.7016E+001   2.6808E+000   5.5678E+001   4.9750E+001
diamictito      44.00       3138.22   4.7866E+001   2.6659E+000   5.5572E+001   4.9534E+001
diamictito      44.00       3138.07   4.8638E+001   2.6545E+000   5.5552E+001   4.9500E+001
diamictito      44.00       3137.92   4.8542E+001   2.6539E+000   5.5424E+001   4.9283E+001
diamictito      44.00       3137.76   4.8447E+001   2.6470E+000   5.5448E+001   4.9250E+001
diamictito      44.00       3137.61   4.8700E+001   2.6548E+000   5.5539E+001   4.9469E+001
diamictito      44.00       3137.46   4.8737E+001   2.6350E+000   5.5552E+001   4.9719E+001
diamictito      44.00       3137.31   4.9594E+001   2.6338E+000   5.5552E+001   4.9970E+001
diamictito      44.00       3137.15   4.9778E+001   2.6446E+000   5.5552E+001   5.0662E+001
