Rock Code Depth(m) RHOB GR SP DT
Calciferous_Sandstone 8.0 1350.0 2.48283807212122 36.50639773908671 -23.636913565228838 135.68364074467087
Calciferous_Sandstone 8.0 1360.0 2.4810383405598992 30.5724057369764 -51.125503816600784 106.44900799290545
Calciferous_Sandstone 8.0 1370.0 2.7042474211153604 47.05071609465368 -49.744179096434685 148.7194212751281
Calciferous_Sandstone 8.0 1380.0 2.5360121837729706 46.16083012169491 -47.88204932818475 84.72979752588336
Calciferous_Sandstone 8.0 1390.0 2.9130042045389533 32.1741701553711 -34.495121221143734 49.28079740397168
Diabase 65.0 1400.0 2.6822853406494365 27.858491882443325 -41.40038927974703 60.216847495001936
Diabase 65.0 1410.0 2.7282019749767326 31.214272523324517 -16.893272339932885 68.63068770087236
Diabase 65.0 1420.0 2.652570806289479 27.1066352056488 -9.944671975679324 110.46289798539944
Diabase 65.0 1430.0 2.7456770935646486 15.283615648849779 9.934005752722896 41.33451803542337
Diabase 65.0 1440.0 2.634360624426027 31.1046526843065 -27.99931315906792 113.0573331532016
Diabase 65.0 1450.0 2.733684845690389 35.70767212545397 0.5547624122566397 73.12225399727183
Diabase 65.0 1460.0 2.567363724013449 28.81830069388124 8.762736987488296 56.577026925528706
Diabase 65.0 1470.0 2.8203148078405684 27.899066634907044 -8.903285216649849 75.56262321886065
Diabase 65.0 1480.0 2.7774003260987397 26.13442668779242 -6.422914303109112 52.48226018891138
Diabase 65.0 1490.0 3.014211495694221 36.52263724486875 -0.8349945785155675 79.4646366562208
Diabase 65.0 1500.0 2.6794554275451974 43.021205020936364 -20.299598159802198 89.36513206360769
Diabase 65.0 1510.0 2.8775097836995 35.72745769120364 0.3221784272371208 83.9086346810419
Diabase 65.0 1520.0 2.8320055109739206 37.764592721777845 -14.041396734097807 61.805514052533454
Diabase 65.0 1530.0 3.0501632029597263 25.90064244197458 -7.906426285957418 105.9761258322072
Diabase 65.0 1540.0 2.894816429186525 16.92254010670003 3.1960514357875254 57.07951259606284
Diabase 65.0 1550.0 2.7081196977339794 30.542195949595328 -2.6996140580938928 46.65033098710503
Diabase 65.0 1560.0 2.752481049813208 35.3977701257039 -6.778748562684858 42.583475829728755
Diabase 65.0 1570.0 2.7600480484442937 36.740209384713935 -24.946046864738054 74.9667332212998
Diabase 65.0 1580.0 2.7734762454851176 41.718224963079706 -14.096798032799938 86.03061501821553
Diabase 65.0 1590.0 2.7493212679230403 40.56021057984051 -13.952358527164948 65.81034592914709
Calciferous_Sandstone 8.0 1600.0 2.7490876284081995 44.82089489373518 -36.060198346581146 48.83456922475579
Calciferous_Sandstone 8.0 1610.0 2.7708749260286702 37.51904071633631 -32.09763767368697 82.25724083421295
Calciferous_Sandstone 8.0 1620.0 2.4780054040453545 27.55464882728216 -30.655386039312692 54.458262593148355
Calciferous_Sandstone 8.0 1630.0 2.5593810344520085 29.683223694121104 -38.19518152959797 76.6696141566117
Calciferous_Sandstone 8.0 1640.0 2.5548991393225933 42.94636491666 -52.38739622867121 79.43756604726399
Calciferous_Sandstone 8.0 1650.0 2.6607349150286903 42.12858261647771 -48.680398715028346 70.54564062170036
Calciferous_Sandstone 8.0 1660.0 2.573930982518801 35.02999812555116 -51.78680375607094 114.36500806118849
Calciferous_Sandstone 8.0 1670.0 2.4777262535777402 31.417780117095127 -43.27073994604545 132.77101193715816
Calciferous_Sandstone 8.0 1680.0 2.7877136736564982 43.4861705523035 -52.58504312973346 86.19328991906431
Calciferous_Sandstone 8.0 1690.0 2.4757711073256368 42.81344616691296 -49.80196893080318 190.10965238696602
Calciferous_Sandstone 8.0 1700.0 2.4702141790483654 48.58338523607018 -52.13763175083769 132.00959706955246
Calciferous_Sandstone 8.0 1710.0 2.5067867512934314 31.47929023332202 -51.06790448486672 159.47979106943203
Calciferous_Sandstone 8.0 1720.0 2.443726416031165 40.3430282610352 -47.25598324589215 127.026952899465
Calciferous_Sandstone 8.0 1730.0 2.6630944046213005 40.266927436272624 -58.59675416230142 142.47185563515018
Calciferous_Sandstone 8.0 1740.0 2.411670249668896 36.53416958130628 -35.651651765247976 190.08349533175397
Calciferous_Sandstone 8.0 1750.0 2.4072296654786993 33.037224781406564 -55.461071521270476 130.92550076937164
Calciferous_Sandstone 8.0 1760.0 2.5663213302303465 35.20373550820354 -57.200501096436746 206.25520717164017
Calciferous_Sandstone 8.0 1770.0 2.5967715472839625 41.037377304254115 -39.4208347566354 127.14336379254654
Calciferous_Sandstone 8.0 1780.0 2.527052882569526 39.41548876977133 -64.65231894979979 154.2920869436519
Calciferous_Sandstone 8.0 1790.0 2.619628955743898 41.80695266273806 -78.57505979612864 200.8408594757221
Calciferous_Sandstone 8.0 1800.0 2.5505651887196654 36.82029156390549 -58.088768982568645 156.23541612813278
Calciferous_Sandstone 8.0 1810.0 2.4674192313422867 39.61495261120782 -58.661344743557116 118.51793377798599
Calciferous_Sandstone 8.0 1820.0 2.5146515771832862 37.785712425861185 -54.810383819088656 120.26549919185284
Calciferous_Sandstone 8.0 1830.0 2.688578078634357 40.881650485676076 -40.15347625689884 149.65199386401088
Calciferous_Sandstone 8.0 1840.0 2.49606304882563 36.811358917902645 -59.13931200067535 145.89532567619946
Calciferous_Sandstone 8.0 1850.0 2.3894185625216577 41.995370150119136 -65.90407609403664 162.6406172671126
Calciferous_Sandstone 8.0 1860.0 2.3586426865236287 38.82942923369111 -74.11969973893609 128.33037453339168
Calciferous_Sandstone 8.0 1870.0 2.5579048416454877 46.39419792668002 -75.01135927658056 155.21399748734444
Calciferous_Sandstone 8.0 1880.0 2.4921465076539007 47.46605411049502 -64.97108439039522 131.11071212172823
Calciferous_Sandstone 8.0 1890.0 2.514323385909825 37.40051944522367 -62.369736058056056 87.1492497889934
Calciferous_Sandstone 8.0 1900.0 2.4452480013334226 47.924354079103935 -62.990157242164614 156.48675779118338
Calciferous_Sandstone 8.0 1910.0 2.526115134146366 35.05498590149097 -46.441414466907425 136.38730356468568
Calciferous_Sandstone 8.0 1920.0 2.514203958168203 31.858312428183805 -56.06380887890771 84.95827508533372
Calciferous_Sandstone 8.0 1930.0 2.260645048448952 41.45476929735993 -49.77168971110372 124.14146511369644
Calciferous_Sandstone 8.0 1940.0 2.4561190460446407 38.51872068975935 -64.95352147849206 211.1574478148383
Calciferous_Sandstone 8.0 1950.0 2.269281889940051 36.74209559228677 -34.96217496032191 151.74285243219626
Calciferous_Sandstone 8.0 1960.0 2.30852179408974 36.62432671255671 -39.33946912491168 102.53151825897396
Calciferous_Sandstone 8.0 1970.0 2.4495958786230347 36.562394983706405 -47.5010864606214 111.9607387413288
Calciferous_Sandstone 8.0 1980.0 2.603688438721417 35.69906316831178 -44.97573243106517 141.10129543075985
Calciferous_Sandstone 8.0 1990.0 2.3116448111027945 25.76537644283998 -42.427545025993645 150.87559858291314
Conglomerate 42.0 2000.0 2.4317367239028487 24.002464709623442 -54.99791147430078 60.36577637488958
Conglomerate 42.0 2010.0 2.3721314064659293 21.073986437760798 -60.6621032594794 115.06476156453888
Conglomerate 42.0 2020.0 2.303743097806189 9.495178880009355 -49.665304002905394 108.86295795458906
Conglomerate 42.0 2030.0 2.4246799936186605 13.173733691205733 -55.449825773251455 146.2474300837479
Conglomerate 42.0 2040.0 2.4871843114393744 22.715786268963736 -48.995615234884205 71.19882661186871
Conglomerate 42.0 2050.0 2.2944860199722945 14.234843517808265 -40.87020514121816 105.24189503628469
