Rock Code Depth1(m) RHOB GR SP DT
ARENITO 49.0 1267.0536 2.2418 45.3356 68.7935 84.2929
ARENITO 49.0 1267.206 2.2471 44.023 68.75 85.0047
ARENITO 49.0 1267.3584 2.239 41.9218 68.3344 87.255
ARENITO 49.0 1267.5108 2.2403 39.9806 66.7915 88.6861
ARENITO 49.0 1267.6632 2.2502 38.6024 65.2449 89.2169
ARENITO 49.0 1267.8156 2.2461 38.2057 64.5805 89.2807
ARENITO 49.0 1267.968 2.2391 38.3589 64.9212 90.1042
ARENITO 49.0 1268.1204 2.2507 38.7742 65.2111 90.3822
ARENITO 49.0 1268.2728 2.2437 39.7323 65.6733 88.6257
ARENITO 49.0 1268.4252 2.2454 41.231 66.3874 85.8935
ARENITO 49.0 1268.5776 2.2409 43.4471 67.1391 81.9274
ARENITO 49.0 1268.73 2.2212 46.6759 67.6777 79.0966
ARENITO 49.0 1268.8824 2.146 51.5988 67.9644 81.0698
FOLHELHO 57.0 1269.0348 2.0386 56.7161 68.2149 89.1492
FOLHELHO 57.0 1269.1872 1.9557 60.4716 68.25 98.7998
FOLHELHO 57.0 1269.3396 1.996 62.316 68.25 109.3523
FOLHELHO 57.0 1269.7968 2.1285 62.0785 69.3727 81.2847
FOLHELHO 57.0 1269.9492 2.2684 61.0279 70.5951 75.9004
FOLHELHO 57.0 1270.1016 2.4451 60.2869 71.1891 76.3795
FOLHELHO 57.0 1270.254 2.5234 60.6012 71.4704 77.9877
FOLHELHO 57.0 1270.4064 2.577 63.9665 71.5 78.7892
FOLHELHO 57.0 1270.5588 2.5688 66.0617 71.7214 78.7388
FOLHELHO 57.0 1270.7112 2.5483 66.6089 72.8615 79.6783
FOLHELHO 57.0 1270.8636 2.4809 67.1849 73.6685 81.0175
FOLHELHO 57.0 1271.016 2.3907 67.1159 73.75 82.6095
FOLHELHO 57.0 1271.1684 2.3272 65.2851 73.5258 83.0862
FOLHELHO 57.0 1271.3208 2.2518 62.4491 72.8258 84.3957
FOLHELHO 57.0 1271.4732 2.1411 59.7865 71.6221 90.5817
FOLHELHO 57.0 1271.6256 2.1617 57.9711 69.9173 91.4571
FOLHELHO 57.0 1271.778 2.2476 55.2887 68.3882 89.0396
FOLHELHO 57.0 1271.9304 2.3643 51.7595 67.795 84.833
ARENITO 49.0 1272.0828 2.4088 46.0957 67.2933 75.3773
ARENITO 49.0 1272.2352 2.3928 40.9921 66.5633 73.8916
ARENITO 49.0 1272.3876 2.3607 38.7112 66.5 77.8703
ARENITO 49.0 1272.54 2.3239 38.7514 66.5 81.9698
ARENITO 49.0 1272.6924 2.3201 39.461 66.5 84.5466
ARENITO 49.0 1272.8448 2.3089 40.2825 66.0367 85.1423
ARENITO 49.0 1272.9972 2.3024 41.3871 65.5357 85.4923
ARENITO 49.0 1273.1496 2.3169 42.0253 65.2674 86.836
ARENITO 49.0 1273.302 2.3012 42.2769 64.783 87.1627
ARENITO 49.0 1273.4544 2.2831 42.5023 64.2819 86.4466
ARENITO 49.0 1273.6068 2.282 43.2913 63.7802 86.9478
ARENITO 49.0 1273.7592 2.2877 44.188 63.5146 86.9832
ARENITO 49.0 1273.9116 2.288 44.2405 63.5 86.3836
ARENITO 49.0 1274.064 2.3164 45.0924 63.5 85.7459
ARENITO 49.0 1274.2164 2.3408 45.7802 63.7373 85.0627
ARENITO 49.0 1274.3688 2.3639 46.5285 63.9882 83.3513
ARENITO 49.0 1274.5212 2.365 47.7089 64.2387 82.148
ARENITO 49.0 1274.6736 2.3727 48.6953 65.2068 81.9079
ARENITO 49.0 1274.826 2.3999 49.4572 66.9305 81.3361
ARENITO 49.0 1274.9784 2.4405 50.5688 68.6841 80.5132
FOLHELHO 57.0 1275.1308 2.4565 53.4344 70.1988 77.8379
FOLHELHO 57.0 1275.2832 2.4947 57.4515 71.2179 76.467
FOLHELHO 57.0 1275.4356 2.5145 60.785 71.9786 75.4749
FOLHELHO 57.0 1275.588 2.4946 62.9951 72.0 76.8744
FOLHELHO 57.0 1275.7404 2.4569 64.0032 71.0246 77.3425
FOLHELHO 57.0 1275.8928 2.409 63.7337 70.021 75.0085
FOLHELHO 57.0 1276.0452 2.3285 64.1685 69.7548 76.8282
FOLHELHO 57.0 1276.1976 2.2256 64.8412 69.9961 79.9446
FOLHELHO 57.0 1276.35 2.1106 64.5559 69.7534 86.455
FOLHELHO 57.0 1276.9596 1.9078 57.2844 69.75 111.8306
FOLHELHO 57.0 1277.112 2.1199 56.6074 69.5001 97.9385
FOLHELHO 57.0 1277.2644 2.3051 55.2548 68.7484 82.6294
FOLHELHO 57.0 1277.4168 2.3578 53.151 67.7448 80.5408
FOLHELHO 57.0 1277.5692 2.3219 51.509 66.7429 82.4853
FOLHELHO 57.0 1277.7216 2.3012 51.2865 65.742 82.382
FOLHELHO 57.0 1277.874 2.3193 51.3483 64.9937 81.8029
ARENITO 49.0 1278.0264 2.3391 50.3742 64.4963 81.9167
ARENITO 49.0 1278.1788 2.3445 49.5414 64.2409 83.1154
ARENITO 49.0 1278.3312 2.3198 48.3906 63.7399 85.4467
ARENITO 49.0 1278.4836 2.3076 46.0892 63.2381 86.8063
ARENITO 49.0 1278.636 2.2921 45.0533 62.7371 87.5975
ARENITO 49.0 1278.7884 2.2571 44.609 62.25 88.6697
ARENITO 49.0 1278.9408 2.2626 44.4115 62.2657 89.5236
ARENITO 49.0 1279.0932 2.2801 45.0849 62.75 89.46
ARENITO 49.0 1279.2456 2.2833 45.6673 62.75 88.982
ARENITO 49.0 1279.398 2.2646 45.824 62.75 88.8446
ARENITO 49.0 1279.5504 2.2538 47.9671 62.75 88.9448
ARENITO 49.0 1279.7028 2.2271 49.2437 62.6945 89.1112
ARENITO 49.0 1279.8552 2.2298 50.4961 61.4419 89.6695
ARENITO 49.0 1280.0076 2.2467 51.1883 60.2125 89.6131
ARENITO 49.0 1280.16 2.2602 50.6675 59.513 89.4197
ARENITO 49.0 1280.3124 2.2472 48.8375 59.7778 89.2644
ARENITO 49.0 1280.4648 2.2684 46.6018 60.25 88.9706
ARENITO 49.0 1280.6172 2.274 44.6937 60.2798 88.6767
ARENITO 49.0 1280.7696 2.2591 43.547 60.7973 88.3885
ARENITO 49.0 1280.922 2.2611 43.2661 61.5163 88.1989
ARENITO 49.0 1281.0744 2.2614 43.2815 61.7672 88.1075
ARENITO 49.0 1281.2268 2.2543 43.528 62.0 88.1144
ARENITO 49.0 1281.3792 2.2732 44.0701 62.0182 88.2231
ARENITO 49.0 1281.5316 2.2873 44.7309 62.25 88.4534
ARENITO 49.0 1281.684 2.2671 44.292 62.25 88.5024
ARENITO 49.0 1281.8364 2.2691 43.9789 62.2296 88.5115
ARENITO 49.0 1281.9888 2.2807 43.5596 62.0 88.0666
ARENITO 49.0 1282.1412 2.2773 43.5231 62.0 87.5977
ARENITO 49.0 1282.2936 2.2812 43.946 61.9777 87.3307
ARENITO 49.0 1282.446 2.2932 44.7856 61.7272 86.8721
ARENITO 49.0 1282.5984 2.287 44.9615 61.4289 86.7435
ARENITO 49.0 1282.7508 2.3052 44.5885 60.7258 86.8114
ARENITO 49.0 1282.9032 2.2925 43.5732 60.5752 87.0812
ARENITO 49.0 1283.0556 2.243 42.9663 61.3523 87.576
ARENITO 49.0 1283.208 2.2446 42.888 62.3545 88.0638
ARENITO 49.0 1283.3604 2.2585 42.0794 63.277 88.1128
ARENITO 49.0 1283.5128 2.266 40.6871 63.5 88.0973
ARENITO 49.0 1283.6652 2.2931 38.3642 63.5 87.4025
ARENITO 49.0 1283.8176 2.3186 36.241 63.3846 85.4133
ARENITO 49.0 1283.97 2.3336 35.2729 62.3237 82.9089
ARENITO 49.0 1284.1224 2.3542 35.5439 60.8791 81.2123
ARENITO 49.0 1284.2748 2.3596 36.1171 60.0 80.536
ARENITO 49.0 1284.4272 2.3335 36.3604 60.0316 81.0393
ARENITO 49.0 1284.5796 2.3244 35.8385 60.2821 81.882
ARENITO 49.0 1284.732 2.3332 36.4035 60.5327 82.1014
ARENITO 49.0 1284.8844 2.3271 37.1504 60.817 82.2421
ARENITO 49.0 1285.0368 2.3217 37.2736 61.3522 82.9437
ARENITO 49.0 1285.1892 2.3263 36.6635 62.0349 83.3932
ARENITO 49.0 1285.3416 2.326 35.7386 62.25 83.5545
ARENITO 49.0 1285.494 2.3154 36.1253 62.25 83.5196
ARENITO 49.0 1285.6464 2.3244 36.9946 62.25 83.6477
ARENITO 49.0 1285.7988 2.3271 37.6819 62.2127 84.2502
ARENITO 49.0 1285.9512 2.3269 38.3652 61.9618 84.8846
ARENITO 49.0 1286.1036 2.321 38.6192 61.7113 85.2048
ARENITO 49.0 1286.256 2.3208 38.5487 61.4608 85.3164
ARENITO 49.0 1286.4084 2.3176 38.0855 61.25 84.9105
ARENITO 49.0 1286.5608 2.3044 37.511 61.25 84.1597
ARENITO 49.0 1286.7132 2.3055 36.8204 61.2086 83.3421
ARENITO 49.0 1286.8656 2.3302 36.8834 60.958 82.7633
ARENITO 49.0 1287.018 2.3403 37.2979 60.7928 83.0265
ARENITO 49.0 1287.1704 2.336 37.8727 61.1733 83.6566
ARENITO 49.0 1287.3228 2.3324 38.3366 62.2194 84.4551
ARENITO 49.0 1287.4752 2.3344 38.93 63.3394 85.014
ARENITO 49.0 1287.6276 2.309 39.8586 63.75 85.1746
ARENITO 49.0 1287.78 2.2921 40.7316 63.75 85.1565
ARENITO 49.0 1287.9324 2.3007 40.7928 63.7034 85.0768
ARENITO 49.0 1288.0848 2.32 40.7645 63.2642 85.0953
ARENITO 49.0 1288.2372 2.3328 40.3839 61.9621 85.1464
ARENITO 49.0 1288.3896 2.3372 39.1919 60.7014 85.0279
ARENITO 49.0 1288.542 2.3602 38.6507 60.5494 85.0086
