Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.0        3152.3940        24.9962        2.6070        60.9474        13.8453
arenito         49.0        3152.2416        25.1930        2.6064        60.6251        13.5947
arenito         49.0        3152.0892        25.2782        2.5874        60.5316        13.3438
arenito         49.0        3151.9368        25.0904        2.5730        60.8009        13.2500
arenito         49.0        3151.7844        24.5542        2.5813        60.8673        13.2500
arenito         49.0        3151.6320        23.4507        2.5969        60.7074        13.0919
arenito         49.0        3151.4796        21.6201        2.6065        60.6976        13.1590
arenito         49.0        3151.3272        21.4773        2.6115        60.7956        13.4094
arenito         49.0        3151.1748        22.7417        2.6124        60.7997        13.6600
arenito         49.0        3151.0224        24.1227        2.6114        60.6878        14.0717
arenito         49.0        3150.8700        25.5705        2.5975        60.3202        14.7337
arenito         49.0        3150.7176        26.7335        2.5868        59.9251        16.1330
arenito         49.0        3150.5652        27.1746        2.5824        59.6135        17.4010
arenito         49.0        3150.4128        26.5890        2.5692        59.6392        18.2410
arenito         49.0        3150.2604        24.9740        2.5696        60.1236        18.9921
arenito         49.0        3150.1080        23.5634        2.5783        61.0826        19.4146
arenito         49.0        3149.9556        22.4848        2.5797        61.7254        19.6655
arenito         49.0        3149.8032        21.2350        2.5717        61.3061        20.2477
arenito         49.0        3149.6508        19.7328        2.5747        59.8543        21.1661
arenito         49.0        3149.4984        18.2034        2.5947        58.0228        22.0023
arenito         49.0        3149.3460        17.1549        2.6245        56.4250        22.7533
arenito         49.0        3149.1936        16.4799        2.6559        55.5805        23.8421
arenito         49.0        3149.0412        16.2842        2.6694        55.2395        24.9272
arenito         49.0        3148.8888        17.7640        2.6479        54.8278        26.2712
arenito         49.0        3148.7364        21.9347        2.6343        54.6718        27.6028
arenito         49.0        3148.5840        23.5543        2.6330        55.0400        28.6848
arenito         49.0        3148.4316        28.0429        2.6578        55.5796        30.3767
arenito         49.0        3148.2792        33.5386        2.6793        56.5227        31.8622
arenito         49.0        3148.1268        37.7949        2.6819        57.1761        33.1154
arenito         49.0        3147.9744        40.7674        2.6761        56.9713        34.0219
arenito         49.0        3147.8220        41.7513        2.6782        56.5159        34.9473
arenito         49.0        3147.6696        41.1602        2.6807        56.2800        36.1248
